,mean,mean,n_seeds,std,std
model,GCN,MoE-GCN,GCN,GCN,MoE-GCN
dataset,,,,,
ames,0.8409997545505045,0.8249136788789023,3.0,0.005032049132644956,0.0015288845897544028
bbb_martins,0.8587137794454867,0.8547920575359599,3.0,0.0021361959495173337,0.008978827209510591
bioavailability_ma,0.5971621771422236,0.5710009976720983,3.0,0.0077485787018296325,0.02923984362719995
caco2_wang,0.4605162388239152,0.46672263741493225,3.0,0.0777815086832664,0.02562037672415728
clearance_hepatocyte_az,0.3816913817306678,0.33066670116288255,3.0,0.0008294325782999329,0.013231610638494064
clearance_microsome_az,0.4738744489336133,0.5301488375718871,3.0,0.04236551302446817,0.016611598198205502
cyp2c9_substrate_carbonmangels,0.6259721468620004,0.6307650569723278,3.0,0.02576065923244672,0.016351494158189695
cyp2c9_veith,0.8748582113978184,0.8747426618257425,3.0,0.002309808471751539,0.0012188079351426859
cyp2d6_substrate_carbonmangels,0.8023255813953488,0.7735085945399393,3.0,0.00961618904148453,0.054041371902533254
cyp2d6_veith,0.8533907021300268,0.8390528493830326,3.0,0.0018917983027145436,0.002049806041231281
cyp3a4_substrate_carbonmangels,0.5899638336347196,0.5732368896925859,3.0,0.014806324725215977,0.0037461732654177787
cyp3a4_veith,0.8739345307707781,0.8730305113096707,3.0,0.0035041354814467247,0.003581535664488778
dili,0.9494202898550724,0.9127536231884057,3.0,0.006941408704248168,0.036858921989455146
half_life_obach,0.31234627885728655,0.30853159313312467,3.0,0.023901228940955727,0.02361558313599077
herg,0.7358370152184586,0.6963672066764849,3.0,0.01916480056396941,0.01860780043649008
hia_hou,0.9348422496570644,0.9168724279835393,3.0,0.01994741327694359,0.04369510040636629
ld50_zhu,0.6967739276134274,0.6420315702756246,3.0,0.008197259918764747,0.010816298530988578
lipophilicity_astrazeneca,0.5942339509230343,0.6236550013224283,3.0,0.007096481710600032,0.01875553045044554
pgp_broccatelli,0.8884519683639919,0.8541055718475073,3.0,0.008616430099537957,0.008423288172257863
ppbr_az,9.739646528973992,9.340328534444174,3.0,0.3404609471319572,0.16854318988515624
solubility_aqsoldb,1.047813100951778,0.9165961742401123,3.0,0.010043409238222337,0.009147401405881994
vdss_lombardo,0.3843671760527516,0.3888074988881627,3.0,0.0206523624572289,0.06158595512308282
